date,year,month,line_name,former_name,line_id,avg_daily_boardings,avg_daily_boardings_sat,avg_daily_boardings_sun,is_treatment,period
2011-02-01,2011,2,E Line,Expo Line,expo,33829.0,25995.0,18621.0,False,pre
2011-03-01,2011,3,A Line,Blue Line,a_line,77805.0,55221.0,39584.0,False,pre
2011-03-01,2011,3,B Line,Red Line,red,144093.0,99973.0,68133.0,False,pre
2011-03-01,2011,3,C Line,Green Line,green,38359.0,22096.0,15813.0,False,pre
2011-03-01,2011,3,E Line,Expo Line,expo,34544.0,24687.0,16330.0,False,pre
2011-04-01,2011,4,A Line,Blue Line,a_line,82086.0,57946.0,49657.0,False,pre
2011-04-01,2011,4,B Line,Red Line,red,148057.0,97013.0,79110.0,False,pre
2011-04-01,2011,4,C Line,Green Line,green,40586.0,22862.0,19361.0,False,pre
2011-04-01,2011,4,E Line,Expo Line,expo,38485.0,24475.0,19662.0,False,pre
2011-05-01,2011,5,A Line,Blue Line,a_line,80223.0,51553.0,45678.0,False,pre
2011-05-01,2011,5,B Line,Red Line,red,144244.0,98574.0,71577.0,False,pre
2011-05-01,2011,5,C Line,Green Line,green,40411.0,23832.0,18599.0,False,pre
2011-05-01,2011,5,E Line,Expo Line,expo,36623.0,25421.0,18553.0,False,pre
2011-06-01,2011,6,A Line,Blue Line,a_line,84159.0,53922.0,47027.0,False,pre
2011-06-01,2011,6,B Line,Red Line,red,155975.0,93465.0,72715.0,False,pre
2011-06-01,2011,6,C Line,Green Line,green,42380.0,23188.0,17310.0,False,pre
2011-06-01,2011,6,E Line,Expo Line,expo,39112.0,25708.0,18030.0,False,pre
2011-07-01,2011,7,A Line,Blue Line,a_line,90109.0,60213.0,54155.0,False,pre
2011-07-01,2011,7,B Line,Red Line,red,171163.0,92171.0,74186.0,False,pre
2011-07-01,2011,7,C Line,Green Line,green,45259.0,25927.0,19706.0,False,pre
2011-07-01,2011,7,E Line,Expo Line,expo,42900.0,26029.0,21452.0,False,pre
2011-08-01,2011,8,A Line,Blue Line,a_line,82189.0,57645.0,47924.0,False,pre
2011-08-01,2011,8,B Line,Red Line,red,159302.0,100728.0,80785.0,False,pre
2011-08-01,2011,8,C Line,Green Line,green,43373.0,23058.0,18901.0,False,pre
2011-08-01,2011,8,E Line,Expo Line,expo,39598.0,24460.0,20868.0,False,pre
2011-09-01,2011,9,A Line,Blue Line,a_line,83385.0,58990.0,48791.0,False,pre
2011-09-01,2011,9,B Line,Red Line,red,152706.0,96760.0,76175.0,False,pre
2011-09-01,2011,9,C Line,Green Line,green,44831.0,23040.0,18313.0,False,pre
2011-09-01,2011,9,E Line,Expo Line,expo,37938.0,24050.0,18959.0,False,pre
2011-10-01,2011,10,A Line,Blue Line,a_line,77738.0,56637.0,45345.0,False,pre
2011-10-01,2011,10,B Line,Red Line,red,145737.0,86230.0,74723.0,False,pre
2011-10-01,2011,10,C Line,Green Line,green,42810.0,22256.0,17523.0,False,pre
2011-10-01,2011,10,E Line,Expo Line,expo,36784.0,23688.0,21833.0,False,pre
2011-11-01,2011,11,A Line,Blue Line,a_line,75250.0,56212.0,38171.0,False,pre
2011-11-01,2011,11,B Line,Red Line,red,140363.0,77255.0,60157.0,False,pre
2011-11-01,2011,11,C Line,Green Line,green,40669.0,19223.0,14328.0,False,pre
2011-11-01,2011,11,E Line,Expo Line,expo,37843.0,20697.0,13936.0,False,pre
2011-12-01,2011,12,A Line,Blue Line,a_line,73825.0,53007.0,42566.0,False,pre
2011-12-01,2011,12,B Line,Red Line,red,141680.0,75326.0,66774.0,False,pre
2011-12-01,2011,12,C Line,Green Line,green,38917.0,19346.0,16153.0,False,pre
2011-12-01,2011,12,E Line,Expo Line,expo,39660.0,20130.0,15703.0,False,pre
2012-01-01,2012,1,A Line,Blue Line,a_line,78515.0,58344.0,50849.0,False,pre
2012-01-01,2012,1,B Line,Red Line,red,144854.0,84848.0,74037.0,False,pre
2012-01-01,2012,1,C Line,Green Line,green,42600.0,21900.0,18832.0,False,pre
2012-01-01,2012,1,E Line,Expo Line,expo,41129.0,25893.0,23426.0,False,pre
2012-02-01,2012,2,A Line,Blue Line,a_line,83397.0,63495.0,51091.0,False,pre
2012-02-01,2012,2,B Line,Red Line,red,148180.0,89593.0,70330.0,False,pre
2012-02-01,2012,2,C Line,Green Line,green,43712.0,23767.0,18063.0,False,pre
2012-02-01,2012,2,E Line,Expo Line,expo,41147.0,22070.0,16133.0,False,pre
2012-03-01,2012,3,A Line,Blue Line,a_line,84952.0,61087.0,46081.0,False,pre
2012-03-01,2012,3,B Line,Red Line,red,151757.0,88870.0,69912.0,False,pre
2012-03-01,2012,3,C Line,Green Line,green,44025.0,22052.0,16269.0,False,pre
2012-03-01,2012,3,E Line,Expo Line,expo,43136.0,20934.0,14384.0,False,pre
2012-04-01,2012,4,A Line,Blue Line,a_line,84459.0,67856.0,54822.0,False,pre
2012-04-01,2012,4,B Line,Red Line,red,149917.0,95348.0,83697.0,False,pre
2012-04-01,2012,4,C Line,Green Line,green,43337.0,24711.0,17989.0,False,pre
2012-04-01,2012,4,E Line,Expo Line,expo,42170.0,22230.0,19418.0,False,pre
2012-05-01,2012,5,A Line,Blue Line,a_line,83396.0,66547.0,52157.0,False,pre
2012-05-01,2012,5,B Line,Red Line,red,151751.0,100245.0,82533.0,False,pre
2012-05-01,2012,5,C Line,Green Line,green,45000.0,25296.0,17915.0,False,pre
2012-05-01,2012,5,E Line,Expo Line,expo,43614.0,23478.0,18583.0,False,pre
2012-05-01,2012,5,L Line,Gold Line,gold,11347.0,9000.0,7000.0,True,pre
2012-06-01,2012,6,A Line,Blue Line,a_line,89523.0,59718.0,47599.0,False,pre
2012-06-01,2012,6,B Line,Red Line,red,163510.0,92034.0,74864.0,False,pre
2012-06-01,2012,6,C Line,Green Line,green,46278.0,25656.0,16504.0,False,pre
2012-06-01,2012,6,E Line,Expo Line,expo,47025.0,21837.0,16293.0,False,pre
2012-06-01,2012,6,L Line,Gold Line,gold,16569.0,10612.0,8674.0,True,pre
2012-07-01,2012,7,A Line,Blue Line,a_line,89155.0,61350.0,53559.0,False,pre
2012-07-01,2012,7,B Line,Red Line,red,151309.0,86941.0,78265.0,False,pre
2012-07-01,2012,7,C Line,Green Line,green,47214.0,26568.0,17052.0,False,pre
2012-07-01,2012,7,E Line,Expo Line,expo,45694.0,22729.0,18363.0,False,pre
2012-07-01,2012,7,L Line,Gold Line,gold,18181.0,11930.0,11322.0,True,pre
2012-08-01,2012,8,A Line,Blue Line,a_line,92006.0,65686.0,54087.0,False,pre
2012-08-01,2012,8,B Line,Red Line,red,154025.0,90817.0,79423.0,False,pre
2012-08-01,2012,8,C Line,Green Line,green,45536.0,27291.0,16143.0,False,pre
2012-08-01,2012,8,E Line,Expo Line,expo,42125.0,21050.0,17075.0,False,pre
2012-08-01,2012,8,L Line,Gold Line,gold,19776.0,12569.0,10722.0,True,pre
2012-09-01,2012,9,A Line,Blue Line,a_line,92120.0,66900.0,59554.0,False,pre
2012-09-01,2012,9,B Line,Red Line,red,155940.0,91739.0,81113.0,False,pre
2012-09-01,2012,9,C Line,Green Line,green,46393.0,28889.0,17122.0,False,pre
2012-09-01,2012,9,E Line,Expo Line,expo,41987.0,23115.0,16835.0,False,pre
2012-09-01,2012,9,L Line,Gold Line,gold,20656.0,12953.0,12142.0,True,pre
2012-10-01,2012,10,A Line,Blue Line,a_line,92953.0,63619.0,62213.0,False,pre
2012-10-01,2012,10,B Line,Red Line,red,157605.0,97768.0,84308.0,False,pre
2012-10-01,2012,10,C Line,Green Line,green,46544.0,28022.0,17964.0,False,pre
2012-10-01,2012,10,E Line,Expo Line,expo,42417.0,23743.0,14859.0,False,pre
2012-10-01,2012,10,L Line,Gold Line,gold,21382.0,13279.0,13146.0,True,pre
2012-11-01,2012,11,A Line,Blue Line,a_line,93201.0,67960.0,60585.0,False,pre
2012-11-01,2012,11,B Line,Red Line,red,158321.0,96572.0,83192.0,False,pre
2012-11-01,2012,11,C Line,Green Line,green,46327.0,28796.0,19530.0,False,pre
2012-11-01,2012,11,E Line,Expo Line,expo,42175.0,22418.0,15587.0,False,pre
2012-11-01,2012,11,L Line,Gold Line,gold,22066.0,13401.0,13622.0,True,pre
2012-12-01,2012,12,A Line,Blue Line,a_line,91709.0,62780.0,59391.0,False,pre
2012-12-01,2012,12,B Line,Red Line,red,158830.0,95876.0,84580.0,False,pre
2012-12-01,2012,12,C Line,Green Line,green,46029.0,26406.0,19859.0,False,pre
2012-12-01,2012,12,E Line,Expo Line,expo,42295.0,22170.0,15101.0,False,pre
2012-12-01,2012,12,L Line,Gold Line,gold,23193.0,15654.0,14141.0,True,pre
2013-01-01,2013,1,A Line,Blue Line,a_line,88846.0,55857.0,55515.0,False,pre
2013-01-01,2013,1,B Line,Red Line,red,158328.0,89906.0,81175.0,False,pre
2013-01-01,2013,1,C Line,Green Line,green,45141.0,26943.0,19995.0,False,pre
2013-01-01,2013,1,E Line,Expo Line,expo,42476.0,22286.0,15077.0,False,pre
2013-01-01,2013,1,L Line,Gold Line,gold,24175.0,17534.0,14501.0,True,pre
2013-02-01,2013,2,A Line,Blue Line,a_line,88023.0,52314.0,54588.0,False,pre
2013-02-01,2013,2,B Line,Red Line,red,157764.0,92173.0,78714.0,False,pre
2013-02-01,2013,2,C Line,Green Line,green,44317.0,25164.0,19938.0,False,pre
2013-02-01,2013,2,E Line,Expo Line,expo,43091.0,23333.0,16901.0,False,pre
2013-02-01,2013,2,L Line,Gold Line,gold,25295.0,19200.0,14801.0,True,pre
2013-03-01,2013,3,A Line,Blue Line,a_line,87421.0,55681.0,50937.0,False,pre
2013-03-01,2013,3,B Line,Red Line,red,158754.0,96842.0,76142.0,False,pre
2013-03-01,2013,3,C Line,Green Line,green,44133.0,24545.0,19402.0,False,pre
2013-03-01,2013,3,E Line,Expo Line,expo,43564.0,22314.0,17379.0,False,pre
2013-03-01,2013,3,L Line,Gold Line,gold,25983.0,19848.0,14782.0,True,pre
2013-04-01,2013,4,A Line,Blue Line,a_line,87392.0,59762.0,49063.0,False,pre
2013-04-01,2013,4,B Line,Red Line,red,157429.0,97782.0,73156.0,False,pre
2013-04-01,2013,4,C Line,Green Line,green,42416.0,24905.0,19051.0,False,pre
2013-04-01,2013,4,E Line,Expo Line,expo,43439.0,21968.0,17268.0,False,pre
2013-04-01,2013,4,L Line,Gold Line,gold,25731.0,19154.0,14631.0,True,pre
2013-05-01,2013,5,A Line,Blue Line,a_line,86310.0,59395.0,48436.0,False,pre
2013-05-01,2013,5,B Line,Red Line,red,157257.0,101440.0,73874.0,False,pre
2013-05-01,2013,5,C Line,Green Line,green,41569.0,25366.0,17767.0,False,pre
2013-05-01,2013,5,E Line,Expo Line,expo,43173.0,21225.0,16641.0,False,pre
2013-05-01,2013,5,L Line,Gold Line,gold,26663.0,18604.0,14299.0,True,pre
2013-06-01,2013,6,A Line,Blue Line,a_line,86485.0,61314.0,48396.0,False,pre
2013-06-01,2013,6,B Line,Red Line,red,161010.0,102100.0,69442.0,False,pre
2013-06-01,2013,6,C Line,Green Line,green,42361.0,26082.0,17677.0,False,pre
2013-06-01,2013,6,E Line,Expo Line,expo,44116.0,19747.0,16849.0,False,pre
2013-06-01,2013,6,L Line,Gold Line,gold,26894.0,19161.0,13904.0,True,pre
2013-07-01,2013,7,A Line,Blue Line,a_line,87597.0,61244.0,48641.0,False,pre
2013-07-01,2013,7,B Line,Red Line,red,162746.0,104060.0,71990.0,False,pre
2013-07-01,2013,7,C Line,Green Line,green,42670.0,26030.0,16938.0,False,pre
2013-07-01,2013,7,E Line,Expo Line,expo,44267.0,20532.0,18002.0,False,pre
2013-07-01,2013,7,L Line,Gold Line,gold,26908.0,19265.0,14470.0,True,pre
2013-08-01,2013,8,A Line,Blue Line,a_line,87723.0,60840.0,48487.0,False,pre
2013-08-01,2013,8,B Line,Red Line,red,164081.0,107995.0,74028.0,False,pre
2013-08-01,2013,8,C Line,Green Line,green,42593.0,27691.0,16142.0,False,pre
2013-08-01,2013,8,E Line,Expo Line,expo,44451.0,21506.0,19033.0,False,pre
2013-08-01,2013,8,L Line,Gold Line,gold,27280.0,20063.0,15014.0,True,pre
2013-09-01,2013,9,A Line,Blue Line,a_line,88619.0,61379.0,47866.0,False,pre
2013-09-01,2013,9,B Line,Red Line,red,167839.0,110887.0,71874.0,False,pre
2013-09-01,2013,9,C Line,Green Line,green,42101.0,29670.0,18155.0,False,pre
2013-09-01,2013,9,E Line,Expo Line,expo,44374.0,22387.0,20684.0,False,pre
2013-09-01,2013,9,L Line,Gold Line,gold,27269.0,19634.0,15036.0,True,pre
2013-10-01,2013,10,A Line,Blue Line,a_line,88095.0,60339.0,46897.0,False,pre
2013-10-01,2013,10,B Line,Red Line,red,169478.0,113742.0,69070.0,False,pre
2013-10-01,2013,10,C Line,Green Line,green,43222.0,29948.0,19173.0,False,pre
2013-10-01,2013,10,E Line,Expo Line,expo,43923.0,24171.0,20531.0,False,pre
2013-10-01,2013,10,L Line,Gold Line,gold,27603.0,19727.0,14322.0,True,pre
2013-11-01,2013,11,A Line,Blue Line,a_line,87242.0,59967.0,45786.0,False,pre
2013-11-01,2013,11,B Line,Red Line,red,169562.0,110122.0,68740.0,False,pre
2013-11-01,2013,11,C Line,Green Line,green,43458.0,30482.0,20880.0,False,pre
2013-11-01,2013,11,E Line,Expo Line,expo,43831.0,27326.0,22781.0,False,pre
2013-11-01,2013,11,L Line,Gold Line,gold,27679.0,21936.0,16244.0,True,pre
2013-12-01,2013,12,A Line,Blue Line,a_line,84771.0,58544.0,44469.0,False,pre
2013-12-01,2013,12,B Line,Red Line,red,165526.0,115287.0,66393.0,False,pre
2013-12-01,2013,12,C Line,Green Line,green,43432.0,29792.0,20076.0,False,pre
2013-12-01,2013,12,E Line,Expo Line,expo,42107.0,30150.0,25740.0,False,pre
2013-12-01,2013,12,L Line,Gold Line,gold,27360.0,21194.0,16032.0,True,pre
2014-01-01,2014,1,A Line,Blue Line,a_line,82383.0,55785.0,44016.0,False,pre
2014-01-01,2014,1,B Line,Red Line,red,162873.0,107417.0,67240.0,False,pre
2014-01-01,2014,1,C Line,Green Line,green,43064.0,29543.0,20707.0,False,pre
2014-01-01,2014,1,E Line,Expo Line,expo,41802.0,29909.0,25235.0,False,pre
2014-01-01,2014,1,L Line,Gold Line,gold,27155.0,22807.0,15631.0,True,pre
2014-02-01,2014,2,A Line,Blue Line,a_line,82320.0,56582.0,43940.0,False,pre
2014-02-01,2014,2,B Line,Red Line,red,158086.0,111301.0,65647.0,False,pre
2014-02-01,2014,2,C Line,Green Line,green,42477.0,27431.0,20227.0,False,pre
2014-02-01,2014,2,E Line,Expo Line,expo,41624.0,29739.0,23729.0,False,pre
2014-02-01,2014,2,L Line,Gold Line,gold,28152.0,22902.0,15645.0,True,pre
2014-03-01,2014,3,A Line,Blue Line,a_line,83862.0,54795.0,44374.0,False,pre
2014-03-01,2014,3,B Line,Red Line,red,148484.0,108155.0,70882.0,False,pre
2014-03-01,2014,3,C Line,Green Line,green,42085.0,25356.0,19208.0,False,pre
2014-03-01,2014,3,E Line,Expo Line,expo,41390.0,28583.0,23659.0,False,pre
2014-03-01,2014,3,L Line,Gold Line,gold,28462.0,23151.0,15469.0,True,pre
2014-04-01,2014,4,A Line,Blue Line,a_line,85283.0,54927.0,44636.0,False,pre
2014-04-01,2014,4,B Line,Red Line,red,147777.0,105849.0,72441.0,False,pre
2014-04-01,2014,4,C Line,Green Line,green,41023.0,25457.0,19057.0,False,pre
2014-04-01,2014,4,E Line,Expo Line,expo,41246.0,28682.0,24698.0,False,pre
2014-04-01,2014,4,L Line,Gold Line,gold,29623.0,23719.0,15298.0,True,pre
2014-05-01,2014,5,A Line,Blue Line,a_line,86065.0,56081.0,44917.0,False,pre
2014-05-01,2014,5,B Line,Red Line,red,146299.0,104051.0,74860.0,False,pre
2014-05-01,2014,5,C Line,Green Line,green,40768.0,24399.0,18446.0,False,pre
2014-05-01,2014,5,E Line,Expo Line,expo,41196.0,28377.0,24263.0,False,pre
2014-05-01,2014,5,L Line,Gold Line,gold,30404.0,23391.0,14686.0,True,pre
2014-06-01,2014,6,A Line,Blue Line,a_line,87206.0,56113.0,45075.0,False,pre
2014-06-01,2014,6,B Line,Red Line,red,149456.0,99993.0,75773.0,False,pre
2014-06-01,2014,6,C Line,Green Line,green,40587.0,23888.0,18021.0,False,pre
2014-06-01,2014,6,E Line,Expo Line,expo,41839.0,28219.0,24336.0,False,pre
2014-06-01,2014,6,L Line,Gold Line,gold,31031.0,23752.0,14597.0,True,pre
2014-07-01,2014,7,A Line,Blue Line,a_line,87516.0,56016.0,47945.0,False,pre
2014-07-01,2014,7,B Line,Red Line,red,150774.0,102471.0,79036.0,False,pre
2014-07-01,2014,7,C Line,Green Line,green,40922.0,23352.0,17782.0,False,pre
2014-07-01,2014,7,E Line,Expo Line,expo,42695.0,28374.0,24029.0,False,pre
2014-07-01,2014,7,L Line,Gold Line,gold,31710.0,22828.0,14996.0,True,pre
2014-08-01,2014,8,A Line,Blue Line,a_line,87155.0,56386.0,47855.0,False,pre
2014-08-01,2014,8,B Line,Red Line,red,152105.0,98810.0,83408.0,False,pre
2014-08-01,2014,8,C Line,Green Line,green,41739.0,24360.0,18034.0,False,pre
2014-08-01,2014,8,E Line,Expo Line,expo,43032.0,28853.0,24402.0,False,pre
2014-08-01,2014,8,L Line,Gold Line,gold,31549.0,22612.0,16112.0,True,pre
2014-09-01,2014,9,A Line,Blue Line,a_line,86204.0,57467.0,47431.0,False,pre
2014-09-01,2014,9,B Line,Red Line,red,153343.0,99353.0,81489.0,False,pre
2014-09-01,2014,9,C Line,Green Line,green,41791.0,26195.0,18453.0,False,pre
2014-09-01,2014,9,E Line,Expo Line,expo,44149.0,28880.0,24548.0,False,pre
2014-09-01,2014,9,L Line,Gold Line,gold,31850.0,23278.0,16563.0,True,pre
2014-10-01,2014,10,A Line,Blue Line,a_line,85129.0,57399.0,47236.0,False,pre
2014-10-01,2014,10,B Line,Red Line,red,153957.0,100697.0,83611.0,False,pre
2014-10-01,2014,10,C Line,Green Line,green,41713.0,24573.0,18046.0,False,pre
2014-10-01,2014,10,E Line,Expo Line,expo,44891.0,29123.0,24702.0,False,pre
2014-10-01,2014,10,L Line,Gold Line,gold,31362.0,23752.0,16729.0,True,pre
2014-11-01,2014,11,A Line,Blue Line,a_line,84838.0,56850.0,46950.0,False,pre
